scanned sheet;ID;plant;position;morph;genotype;Fam;Rep;petioleLength;bladeLength;bladeWidth;bladeArea;bladePerimeter;bladeCircularity;perimeter_area;blade_petiole
36;425;4;11;P-;AH6;18;6;134.0;391.9;303.7;93475;1780;0.371;0.019042525;2.925284225
43;490;2;4;P+;PH2;18;7;186.4;600.1;384.4;181171;2646;0.325;0.014604986;3.219878516
43;491;2;5;P+;PH2;18;7;144.6;538.0;370.5;156558;2572;0.297;0.016428416;3.720581218
43;492;2;6;P+;PH2;18;7;141.5;524.6;356.8;146999;2696;0.254;0.018340261;3.707989623
8;85;2;4;P+;PH4;19;2;241.8;664.9;549.1;286775;3266;0.338;0.011388719;2.74985836
8;86;2;5;P+;PH4;19;2;194.2;679.3;515.5;275036;3298;0.318;0.011991158;3.497366619
8;87;2;6;P+;PH4;19;2;172.1;598.8;446.1;209830;2644;0.377;0.012600677;3.47934787
6;61;2;4;P+;PH8;19;2;130.9;504.3;371.9;147309;2338;0.339;0.0158714;3.851505339
6;62;2;5;P+;PH8;19;2;156.0;514.3;374.8;151412;2420;0.325;0.015982881;3.297136337
6;63;2;6;P+;PH8;19;2;140.0;510.6;331.0;132755;2168;0.355;0.016330835;3.648016117
27;317;4;11;P+;PH4;19;7;272.6;654.6;450.6;231648;2970;0.33;0.012821177;2.401094608
27;318;4;12;P+;PH4;19;7;213.9;627.2;427.3;210514;2898;0.315;0.013766305;2.932894725
27;316;4;10;P+;PH4;19;7;246.9;496.9;417.7;163034;2436;0.345;0.014941669;2.012746154
57;655;4;10;P+;PH8;19;10;140.2;550.8;445.8;192864;2546;0.374;0.013201012;3.929020844
57;657;4;12;P+;PH8;19;10;167.9;585.7;420.6;193486;2708;0.332;0.013995845;3.489270437
57;656;4;12;P+;PH8;19;10;101.9;564.1;400.9;177637;2584;0.334;0.014546519;5.533946772
56;641;3;8;P+;PH4;19;11;252.3;699.0;551.3;302657;3378;0.333;0.011161149;2.770719623
56;642;3;9;P+;PH4;19;11;160.0;709.6;536.2;298860;3598;0.29;0.012039082;4.434304996
